Date,BMY,CL,CVX,DUK,ED,EPD,GIS,GLD,GPC,IWP,IWY,JNJ,KMB,KO,LMT,MCD,O,PEP,PG,PSA,QQQ,QUAL,RPG,SCHG,SCHM,VBK,VGT,VUG,VZ,WEC,XOM
2010-08-05,25597924920.835495,23861858383.26645,78430282269.4397,18126962791.297913,7499624853.790284,14258710746.765137,11713461808.654785,,4192406949.485779,,,104514449717.55981,13143624688.24768,75667862068.92014,14188219870.414734,42264384902.68707,3694449957.275391,59573479923.057556,103187899921.9513,9774293696.899414,,,,,,,,,53802154061.8515,5176922441.047668,142993314285.6598
2010-08-06,25588234107.398987,23666951728.179928,78093043710.02197,18137376657.89032,7556812862.457275,14228975769.281387,11616569840.530397,,4177202628.8414,,,104864254246.90247,13139603483.963013,76177982151.83258,14195784318.332672,43038293794.97528,3707039263.9160156,59864150796.89026,103463730417.63306,9606988079.483032,,,,,,,,,53802154061.8515,5212394501.838684,141306010597.83936
2010-08-09,25724080506.095886,23595798507.385254,78648478984.52759,18283139280.75409,7620355839.935302,14076570858.955383,11661556496.444702,,4226616527.15683,,,105021629870.22398,13256327800.483704,76661209714.64157,14296005926.761627,43746192996.59729,3752821417.236328,60336538899.80316,104084302331.2378,9787828775.314331,,,,,,,,,54366574271.593094,5222662444.747925,142400484721.98486
2010-08-10,25869638401.298523,24121740766.353607,78400530782.62329,18418489349.918365,7682309515.991211,13942760591.03012,11758446184.570312,,4177202628.8414,,,103937352990.1886,13286510372.72644,76486665480.21317,14192006197.20459,43698212060.39429,3745953094.4824214,60436450586.891174,104773826679.6875,9723036630.386353,,,,,,,,,54657885800.28534,5238529496.383667,141214730312.5
2010-08-11,25471782063.617706,23657677790.645603,76505933989.56299,18064797311.828613,7567934057.876587,13515292314.529419,11699622216.064453,,4080279038.6505127,,,102310842674.78943,13105392783.874512,75224890335.86502,13827039461.784363,42936296650.77209,3709330371.09375,59455373171.806335,103894662379.11224,9520918693.527222,,,,,,,,,53820345268.363945,5188702908.004761,138688610349.1211
2010-08-12,25549418350.47722,23827833416.72516,76446452554.1687,18054245591.480255,7617178355.529785,13429807840.824127,11914164401.19934,,4045120808.450699,,,102345822072.21985,13127528793.411255,74755092443.0275,13706014156.284332,43230263075.79041,3657827233.8867188,59210095481.87256,103412057604.10309,9460961024.169922,,,,,,,,,55204099282.007225,5175541781.158447,138321154795.45593
2010-08-13,25539702080.95551,23632925050.895687,76773812241.51611,17959218402.378082,7553637055.709839,13663980591.773987,12062963961.532593,,3991908274.213791,,,101698724329.83398,13042997651.275635,74808777942.75284,13751396154.842375,43128262428.81774,3717341271.9726562,59555307088.661194,103118947487.10632,9492878206.78711,,,,,,,,,54676084767.55142,5191524439.727783,137586227807.76978
2010-08-16,25500897461.071014,23564863142.612457,77081284955.29175,17980332346.21811,7536745834.93042,13704868337.750435,12163316967.803955,,4010913243.6828613,,,101453889657.89795,13103373873.458862,75010140041.92352,13603900556.697844,43068277501.64032,3736798425.2929683,59437205894.851685,103032767321.70105,9521885060.211182,,,,,,,,,54548637671.41342,5204686168.6935425,137517291183.0902
2010-08-17,25801715201.950073,23651484901.16501,77862225587.1582,18202053701.503757,7622007214.706421,13779207694.292068,12242902605.194094,,4092632800.786972,,,103570069317.16919,13065140584.373474,75332253040.27557,13694670415.000916,43926179303.05481,3780286614.990234,59546215114.0213,103929138596.53474,9896147053.283691,,,,,,,,,54930978959.827415,5271436528.335571,139676114396.3623
2010-08-18,25500897461.071014,23759773219.184875,77131325462.79907,18223171584.022522,7554442331.588745,13805226995.110512,12253281159.637451,,4144895532.2647095,,,103797414290.39001,13137590112.39624,74956437952.11792,13929156578.083038,43944162521.51489,3757396966.5527344,59518972534.75189,104722122731.70471,9812972804.153442,,,,,,,,,54894584905.67208,5281779134.056091,138137371437.37793
2010-08-19,25287416366.519928,23744289284.740448,75929944056.09131,17990897195.495605,7480443629.730225,13816381676.43547,12156398311.508179,,4073628118.8755035,,,102695584381.40869,13038977831.703186,74204708235.32104,13819473841.629028,43776187211.57074,3684146044.9218745,58737735166.16821,103756809400.177,9532521038.574219,,,,,,,,,53929601157.9895,5223489154.747009,136162363342.89551
2010-08-20,25656152533.73146,23521557395.565033,75138980963.8977,18012009826.44272,7512613841.873169,13823813986.182213,12159855929.656982,,4082179506.8416595,,,102730648219.14673,13022875013.305664,74231559280.22385,13842166013.145447,43842196902.236946,3670415588.3789062,58864894989.96735,103394757226.4862,9453222824.783325,,,,,,,,,53474417435.98938,5230072126.647949,135243732398.91052
