p,window,step,refit_every,start_date,end_date,duration,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown
2,480,48,12,2025-02-13,2025-10-30,259,-0.15600244872358204,-0.21136206937700197,0.16163022372437252,-1.3076890231707963,-0.17703992678824643
2,480,48,96,2025-02-13,2025-10-30,259,-0.15844723759672308,-0.2145584173238234,0.15996222910955862,-1.3413067479628062,-0.17942377686812483
2,480,48,48,2025-02-13,2025-10-30,259,-0.15844723759672308,-0.2145584173238234,0.15996222910955862,-1.3413067479628062,-0.17942377686812483
2,480,48,120,2025-02-13,2025-10-30,259,-0.15844723759672308,-0.2145584173238234,0.15996222910955862,-1.3413067479628062,-0.17942377686812483
2,120,48,120,2025-01-22,2025-10-30,281,-0.2021711717517516,-0.2520304261290788,0.16942210946295222,-1.4875887623403168,-0.21791364137527847
2,120,48,96,2025-01-22,2025-10-30,281,-0.2021711717517516,-0.2520304261290788,0.16942210946295222,-1.4875887623403168,-0.21791364137527847
2,120,48,48,2025-01-22,2025-10-30,281,-0.20573215591487304,-0.2563199730265281,0.16974161573727786,-1.5100596981665015,-0.22140436148797582
2,120,48,24,2025-01-22,2025-10-30,281,-0.20573215591487304,-0.2563199730265281,0.16974161573727786,-1.5100596981665015,-0.22140436148797582
2,120,48,12,2025-01-22,2025-10-30,281,-0.20573215591487304,-0.2563199730265281,0.16974161573727786,-1.5100596981665015,-0.22140436148797582
2,360,48,96,2025-02-05,2025-10-30,267,-0.22605311284731167,-0.29332200419850374,0.1734178129554783,-1.691417964507536,-0.24534450846459288
2,360,48,12,2025-02-05,2025-10-30,267,-0.22605311284731167,-0.29332200419850374,0.1734178129554783,-1.691417964507536,-0.24534450846459288
2,360,48,24,2025-02-05,2025-10-30,267,-0.22605311284731167,-0.29332200419850374,0.1734178129554783,-1.691417964507536,-0.24534450846459288
2,360,48,48,2025-02-05,2025-10-30,267,-0.22605311284731167,-0.29332200419850374,0.1734178129554783,-1.691417964507536,-0.24534450846459288
2,360,48,120,2025-02-05,2025-10-30,267,-0.22605311284731167,-0.29332200419850374,0.1734178129554783,-1.691417964507536,-0.24534450846459288
